signal,fragment,Notes,discards
"Luke Combs, Dan + Shay, Kane Brown, Thomas Rhett, Florida Georgia Line, Chris Stapleton, Morgan Wallen, Maren Morris, Jason Aldean, Blake Shelton, Luke Bryan, Brett Young, Carrie Underwood, Jon Pardi, Zac Brown Band, George Strait, Old Dominion, Eric Church, Lee Brice, Kelsea Ballerini, Dierks Bentley, Jordan Davis, Tim McGraw, Chris Lane, Cody Johnson, Mitchell Tenpenny, Chase Rice, Russell Dickerson, Brooks & Dunn, Scotty McCreery, Kenny Chesney, Jimmie Allen, Cole Swindell, Midland, Matt Stell, Keith Urban, Sam Hunt, Rascall Flatts, Justin Moore, Riley Green, Chris Young, Brett Eldredge, Dustin Lynch, Eli Young Band, Jake Owen, Lady A, Chris Janson, Brantley Gilbert","mainstream-country
bud-light-bumper-sticker
white-collar-country
white-collar-red-state
sausage-grinder-country",,
"Miles Davis, John Coltrane, Charles Mingus, Thelonious Monk, Duke Ellington, Charlie Parker","basic-jazz
jazz-everyones-heard-of
ken-burns-jazz",,
John Tesh,"omfg-john-tesh
live-at-red-rocks",,
"Yanni, Enya, Enigma, Kenny G, Deep Forest,  Mike Oldfield, Vangelis, Ennio Morricone, The Orb","pure-moods
90s-new-age
new-age-infomercial",,
Britney Spears,"its-britney-bitch
britney-in-vegas
aging-britney-fan",,
Spice Girls,"omg-im-posh-spice-who-are-you
omg-im-ginger-spice-who-are-you
omg-im-baby-spice-who-are-you",,
Justin Guarini,from-justin-to-kelly,,
Avril Lavigne,heavy-eyeliner-avril-stan,,
Hilary Duff,lizzie-mcguire,,
"Everclear, Eve 6, Bush, Sugar Ray, Lit, SR-71, American Hi-Fi, Third Eye Blind",90s-middle-school-rock,,
Eve 6,heart-in-a-blender,,
Phantom Planet,jason-schwartzman,,
Journey,"steve-perry
don't-stop-believin",,
ABBA,"mama-mia
dancing-queen",,
Ashlee Simpson,lesser-simpson-sister,,
Paula Abdul,mc-skat-kat,,
Ace of Base,"ace-of-base-diehard
ace-of-base-apologist",,
Michael Jackson,"allegations-of-abuse-have-never-been-proven-in-court
moonwalk
neverland-ranch",,
"Danity Kane, O-Town, Da Band, Day26",making-the-band,,
"Explosions In The Sky, This Will Destroy You, If These Trees Could Talk, The Album Leaf, Mogwai, Godspeed You! Black Emperor, Sliver Mt. Zion","overdramatic-instrumental
stoned-itunes-visualizer",,
"Kelly Clarkson, Tori Kelly, Meghan Trainor, Sia, Jess Glynne, Celine Dion, Michael Bolton, Leann Rimes, Rachel Platten, Josh Groban, Colbie Caillat, Christina Perri","cool-carpool-mom
minivan-swag",,
"Colbie Caillat, Jason Mraz, Sara Bareilles, Ingrid Michaelson, Brandi Carlile","crunch-granola
avocados-and-fedoras
ukelele-sex-god",,
"John Mayer, James Blunt, Jack Johnson, The Fray","nice-guys-finish-last-soft-rock
boring-campfire",,
"Regina Spektor, Imogen Heap, Cat Power, Feist, Tegan and Sara, She & Him, Rilo Kiley, Lorde, willow, marina, sky ferreira, poppy, lykke li, st. vincent, ",manic-pixie-dream-girl,,
"The Fray, OneRepublic, Snow Patrol, Christina Perri, The Postal Service, Tegan and Sara, Anna Nalick, Ingrid Michselson,",Grey's-Anatomy-Soundtrack,,
"Dixie D'Amelio, Nessa Barett, Loren Gray, Jason Derulo, SAYGRACE, Doja Cat, 24kGoldn, ppcocaine, Flo Milli, Ashnikko, queen Herby, Larray, Conan Gray, beabadoobee","stop-getting-all-your-music-from-tiktok
your-gen-z-is-showing",,
"Britney Spears, Christina Aguilera, NSYNC, Backstreet Boys, Pink, Mya, Jessica Simpson, Mandy Moore, Nelly Furtado, The Pussycat Dolls, Gwen Stefani, Fergie, Spice Girls, Destiny's Child, Jennifer Lopez, O-Town, Hanson, Savage Garden, Natasha Bedingfield, Black Eyed Peas, Justin Timberlake, LMFAO","your-gen-x-is-showing
low-cut-jean-pop",,
"Madonna, Cher, Better Midler, RuPaul, Annie Lennox, Kylie Minogue, Celine Dion, Janet Jackson, Toni Braxton, Patti LaBelle, Deborah Cox, ","women-of-a-certain-age-obsessed
women-of-a-certain-age-stan",,
